agency,mode,date,week_number,current_ridership,year,day_of_week,normalized_ridership
WMATA Bus and Rail,Transit,2022-06-05,24,266000,2022,Sunday,0.5865574615538819
WMATA Bus and Rail,Transit,2022-06-06,24,506000,2022,Monday,1.1157822388957301
WMATA Bus and Rail,Transit,2022-06-07,24,536000,2022,Tuesday,1.1819353360634612
WMATA Bus and Rail,Transit,2022-06-08,24,551000,2022,Wednesday,1.2150118846473268
WMATA Bus and Rail,Transit,2022-06-09,24,539000,2022,Thursday,1.1885506457802342
WMATA Bus and Rail,Transit,2022-06-10,24,537000,2022,Friday,1.1841404393023856
WMATA Bus and Rail,Transit,2022-06-11,24,389000,2022,Saturday,0.8577851599415791
WMATA Bus and Rail,Transit,2022-06-12,25,296000,2022,Sunday,0.6527105587216129
WMATA Bus and Rail,Transit,2022-06-13,25,518000,2022,Monday,1.1422434777628225
WMATA Bus and Rail,Transit,2022-06-14,25,549000,2022,Tuesday,1.210601678169478
WMATA Bus and Rail,Transit,2022-06-15,25,572000,2022,Wednesday,1.2613190526647384
WMATA Bus and Rail,Transit,2022-06-16,25,551000,2022,Thursday,1.2150118846473268
WMATA Bus and Rail,Transit,2022-06-17,25,543000,2022,Friday,1.1973710587359316
WMATA Bus and Rail,Transit,2022-06-18,25,400000,2022,Saturday,0.8820412955697471
WMATA Bus and Rail,Transit,2022-06-19,26,305000,2022,Sunday,0.6725564878719322
WMATA Bus and Rail,Transit,2022-06-20,26,331000,2022,Monday,0.7298891720839658
WMATA Bus and Rail,Transit,2022-06-21,26,536000,2022,Tuesday,1.1819353360634612
WMATA Bus and Rail,Transit,2022-06-22,26,525000,2022,Wednesday,1.1576792004352932
WMATA Bus and Rail,Transit,2022-06-23,26,507000,2022,Thursday,1.1179873421346544
WMATA Bus and Rail,Transit,2022-06-24,26,522000,2022,Friday,1.15106389071852
WMATA Bus and Rail,Transit,2022-06-25,26,363000,2022,Saturday,0.8004524757295455
New York City MTA Rail,Transit,2022-06-25,27,2287013,2022,Saturday,0.8614866092117944
New York City MTA Rail,Transit,2022-06-26,27,2012595,2022,Sunday,0.7581170908370924
WMATA Bus and Rail,Transit,2022-06-26,27,265000,2022,Sunday,0.5843523583149575
San Francisco BART Rail,Transit,2022-06-26,27,133905,2022,Sunday,1.1116388619083706
New York City MTA Rail,Transit,2022-06-27,27,2938858,2022,Monday,1.1070277315323331
WMATA Bus and Rail,Transit,2022-06-27,27,459000,2022,Monday,1.0121423866662849
San Francisco BART Rail,Transit,2022-06-27,27,121117,2022,Monday,1.005476748723021
New York City MTA Rail,Transit,2022-06-28,27,3255241,2022,Tuesday,1.226204893132313
WMATA Bus and Rail,Transit,2022-06-28,27,532000,2022,Tuesday,1.1731149231077638
San Francisco BART Rail,Transit,2022-06-28,27,143650,2022,Tuesday,1.1925389082792834
San Francisco BART Rail,Transit,2022-06-29,27,146086,2022,Wednesday,1.2127618444475279
New York City MTA Rail,Transit,2022-06-29,27,3256053,2022,Wednesday,1.2265107624591074
WMATA Bus and Rail,Transit,2022-06-29,27,522000,2022,Wednesday,1.15106389071852
San Francisco BART Rail,Transit,2022-06-30,27,139546,2022,Thursday,1.158468739956428
New York City MTA Rail,Transit,2022-06-30,27,3157979,2022,Thursday,1.189567624089611
WMATA Bus and Rail,Transit,2022-06-30,27,506000,2022,Thursday,1.1157822388957301
WMATA Bus and Rail,Transit,2022-07-01,27,483000,2022,Friday,1.0650648644004697
New York City MTA Rail,Transit,2022-07-01,27,2832840,2022,Friday,1.067092196694789
San Francisco BART Rail,Transit,2022-07-01,27,123370,2022,Friday,1.0241804741692668
WMATA Bus and Rail,Transit,2022-07-02,27,328000,2022,Saturday,0.7232738623671927
New York City MTA Rail,Transit,2022-07-02,28,1849135,2022,Saturday,0.696543937933388
San Francisco BART Rail,Transit,2022-07-02,27,77333,2022,Saturday,0.6419952063624214
WMATA Bus and Rail,Transit,2022-07-03,28,298000,2022,Sunday,0.6571207651994616
San Francisco BART Rail,Transit,2022-07-03,28,60912,2022,Sunday,0.5056730245813276
New York City MTA Rail,Transit,2022-07-03,28,1656683,2022,Sunday,0.6240498939922174
San Francisco BART Rail,Transit,2022-07-04,28,61609,2022,Monday,0.5114593080416177
New York City MTA Rail,Transit,2022-07-04,28,1610232,2022,Monday,0.6065524357423093
WMATA Bus and Rail,Transit,2022-07-04,28,387000,2022,Monday,0.8533749534637304
San Francisco BART Rail,Transit,2022-07-05,28,124095,2022,Tuesday,1.0301992051717206
WMATA Bus and Rail,Transit,2022-07-05,28,481000,2022,Tuesday,1.060654657922621
New York City MTA Rail,Transit,2022-07-05,28,2808749,2022,Tuesday,1.0580174455226177
San Francisco BART Rail,Transit,2022-07-06,28,137052,2022,Wednesday,1.1377643053079871
WMATA Bus and Rail,Transit,2022-07-06,28,518000,2022,Wednesday,1.1422434777628225
New York City MTA Rail,Transit,2022-07-06,28,3072910,2022,Wednesday,1.157523291871544
WMATA Bus and Rail,Transit,2022-07-07,28,508000,2022,Thursday,1.1201924453735788
New York City MTA Rail,Transit,2022-07-07,28,3122067,2022,Thursday,1.1760400634198578
San Francisco BART Rail,Transit,2022-07-07,28,135560,2022,Thursday,1.125378171989834
WMATA Bus and Rail,Transit,2022-07-08,28,493000,2022,Friday,1.0871158967897134
San Francisco BART Rail,Transit,2022-07-08,28,123809,2022,Friday,1.027824919562477
New York City MTA Rail,Transit,2022-07-08,28,2907947,2022,Friday,1.0953839793641793
WMATA Bus and Rail,Transit,2022-07-09,28,278000,2022,Saturday,0.6130187004209743
