"Agency","Mode","Date","Week Number","Current Ridership","Year"
"WMATA Bus and Rail","Transit","06/05/2022","24","266,000","2,022"
"WMATA Bus and Rail","Transit","06/06/2022","24","506,000","2,022"
"WMATA Bus and Rail","Transit","06/07/2022","24","536,000","2,022"
"WMATA Bus and Rail","Transit","06/08/2022","24","551,000","2,022"
"WMATA Bus and Rail","Transit","06/09/2022","24","539,000","2,022"
"WMATA Bus and Rail","Transit","06/10/2022","24","537,000","2,022"
"WMATA Bus and Rail","Transit","06/11/2022","24","389,000","2,022"
"New York City MTA Rail","Transit","06/25/2022","27","2,287,013","2,022"
"New York City MTA Rail","Transit","06/26/2022","27","2,012,595","2,022"
"New York City MTA Rail","Transit","06/27/2022","27","2,938,858","2,022"
"New York City MTA Rail","Transit","06/28/2022","27","3,255,241","2,022"
"New York City MTA Rail","Transit","06/29/2022","27","3,256,053","2,022"
"New York City MTA Rail","Transit","06/30/2022","27","3,157,979","2,022"
"New York City MTA Rail","Transit","07/01/2022","27","2,832,840","2,022"
"New York City MTA Rail","Transit","07/02/2022","28","1,849,135","2,022"
"New York City MTA Rail","Transit","07/03/2022","28","1,656,683","2,022"
"New York City MTA Rail","Transit","07/04/2022","28","1,610,232","2,022"
"New York City MTA Rail","Transit","07/05/2022","28","2,808,749","2,022"
"New York City MTA Rail","Transit","07/06/2022","28","3,072,910","2,022"
"New York City MTA Rail","Transit","07/07/2022","28","3,122,067","2,022"
"New York City MTA Rail","Transit","07/08/2022","28","2,907,947","2,022"
"New York City MTA Rail","Transit","07/09/2022","29","2,063,982","2,022"
"New York City MTA Rail","Transit","07/10/2022","29","1,683,057","2,022"
"New York City MTA Rail","Transit","07/11/2022","29","2,882,750","2,022"
"New York City MTA Rail","Transit","07/12/2022","29","3,155,100","2,022"
"New York City MTA Rail","Transit","07/13/2022","29","3,235,923","2,022"
"New York City MTA Rail","Transit","07/14/2022","29","3,209,517","2,022"
"New York City MTA Rail","Transit","07/15/2022","29","3,027,178","2,022"
"New York City MTA Rail","Transit","07/16/2022","30","2,093,270","2,022"
"New York City MTA Rail","Transit","07/17/2022","30","1,674,929","2,022"
"New York City MTA Rail","Transit","07/18/2022","30","2,725,555","2,022"
"New York City MTA Rail","Transit","07/19/2022","30","3,175,609","2,022"
"New York City MTA Rail","Transit","07/20/2022","30","3,197,109","2,022"
"New York City MTA Rail","Transit","07/21/2022","30","3,115,263","2,022"
"New York City MTA Rail","Transit","07/22/2022","30","2,948,074","2,022"
"New York City MTA Rail","Transit","07/23/2022","31","2,028,728","2,022"
"New York City MTA Rail","Transit","07/24/2022","31","1,596,201","2,022"
"New York City MTA Rail","Transit","07/25/2022","31","2,733,414","2,022"
"New York City MTA Rail","Transit","07/26/2022","31","3,181,480","2,022"
"New York City MTA Rail","Transit","07/27/2022","31","3,239,463","2,022"
"New York City MTA Rail","Transit","07/28/2022","31","3,158,334","2,022"
"New York City MTA Rail","Transit","07/29/2022","31","2,938,378","2,022"
"New York City MTA Rail","Transit","07/30/2022","32","2,074,477","2,022"
"New York City MTA Rail","Transit","07/31/2022","32","1,649,100","2,022"
"New York City MTA Rail","Transit","08/01/2022","32","2,744,935","2,022"
"New York City MTA Rail","Transit","08/02/2022","32","3,076,553","2,022"
"New York City MTA Rail","Transit","08/03/2022","32","3,130,208","2,022"
"New York City MTA Rail","Transit","08/04/2022","32","3,054,485","2,022"
"New York City MTA Rail","Transit","08/05/2022","32","2,826,909","2,022"
"New York City MTA Rail","Transit","08/06/2022","33","1,999,613","2,022"
"New York City MTA Rail","Transit","08/07/2022","33","1,542,464","2,022"
"New York City MTA Rail","Transit","08/08/2022","33","2,710,924","2,022"
"New York City MTA Rail","Transit","08/09/2022","33","3,019,719","2,022"
"New York City MTA Rail","Transit","08/10/2022","33","3,140,551","2,022"
"New York City MTA Rail","Transit","08/11/2022","33","3,099,390","2,022"
"New York City MTA Rail","Transit","08/12/2022","33","2,969,335","2,022"
"New York City MTA Rail","Transit","08/13/2022","34","2,090,849","2,022"
"New York City MTA Rail","Transit","08/14/2022","34","1,679,142","2,022"
"New York City MTA Rail","Transit","08/15/2022","34","2,773,742","2,022"
"New York City MTA Rail","Transit","08/16/2022","34","3,052,120","2,022"
"New York City MTA Rail","Transit","08/17/2022","34","3,080,107","2,022"
"New York City MTA Rail","Transit","08/18/2022","34","3,083,762","2,022"
"New York City MTA Rail","Transit","08/19/2022","34","2,923,869","2,022"
